"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add"
"235",113,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","alt","WNALT1","WSS","3",1.29,"MA",1.1,NA
"236",114,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","mittel","WN3","WSS","3",1.12,"?",0.8,NA
"237",115,"Schwäbisch","Westoberdeutsch","Rudersberg","131121","jung","WNJUNG1","WSS","3",1.19,"NZ",1,NA
"238",116,"Schwäbisch","Westoberdeutsch","Blindheim","78986","alt","DLGALT2","WSS","3",1.7,"?",1.4,NA
"239",117,"Schwäbisch","Westoberdeutsch","Blindheim","78986","mittel","DLG1","WSS","3",1.55,"?",1.3,NA
"240",118,"Schwäbisch","Westoberdeutsch","Blindheim","78986","jung","DLGJUNG2","WSS","3",1.29,"?",1,NA
"247",119,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","mittel","VS3","WSS","3",0.99,"?",0.55,"CK"
"248",120,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","alt","VSALT2","WSS","3",1.17,"PL",0.77,"CK"
"249",121,"Mittelalemannisch","Westoberdeutsch","Bräunlingen","127324","jung","VSJUNG1","WSS","3",1.05,"?",0.58,"CK"
"250",122,"Mittelalemannisch","Westoberdeutsch","Ravensburg","132509","alt","RVALT","WSS","2",1.07,"PL",0.78,"MG"
"251",123,"Mittelalemannisch","Westoberdeutsch","Ravensburg","132509","jung","RVJUNG1","WSS","2",1.24,"MBS",0.9,"MG"
"252",124,"Mittelalemannisch","Westoberdeutsch","Ravensburg","132509","mittel","RV2","WSS","2",1.09,"PL",0.79,"MG"
"253",125,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","mittel","TUT3","WSS","3",1.3,"?",0.77,"MG"
"254",126,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","alt","TUTALT2","WSS","3",1.07,"?",0.66,"MG"
"255",127,"Mittelalemannisch","Westoberdeutsch","Tuttlingen","130272","jung","TUTJUNG1","WSS","3",0.73,"?",0.5,"MG"
"256",128,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","mittel","OG2","WSS","3",1.09,"?",0.7,"CK"
"257",129,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","alt","OGALT","WSS","3",1.3,"RK",0.84,"CK"
"258",130,"Niederalemannisch","Westoberdeutsch","Ohlsbach","128482","jung","OGJUNG2","WSS","3",0.95,"MBS",0.53,"CK"
"259",131,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt","108151","alt","RDALT","NoSo","3",0.81,"?",0.9,NA
"260",132,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt","108151","mittel","RD5","NoSo","3",0.95,"?",0.2,NA
"262",133,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","alt","SEALT2","NoSo","3",0.84,"PL",0.43,"CK"
"263",134,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","mittel","SE2","NoSo","3",1.22,"?",0.414414414414414,NA
"264",135,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","jung","SEJUNG1","NoSo","3",0.94,"PL",0.35,"CK"
"271",136,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","alt","OLALT3","NoSo","3",1.26,"?",0.5,NA
"272",137,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","mittel","OL5","NoSo","3",0.73,"?",0.17,NA
"273",138,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","jung","OLJUNG","NoSo","3",1.11,"?",0.25,NA
"283",139,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","mittel","SN2","NoSo","3",0.78,"?",0.34,"CK"
"284",140,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","alt","SNALT2","NoSo","3",0.79,"MA",0.43,"CK"
"285",141,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","jung","SNJUNG1","NoSo","3",1.28,"MA",0.51,"CK"
"289",142,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","mittel","RUEG1","NoSo","3",1.24,"LV",0.7,NA
"290",143,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","alt","RUEGALT2","NoSo","3",1.39,"LV",0.8,NA
"291",144,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","jung","RUEGJUNG1","NoSo","3",1.37,"LV",0.7,NA
"296",145,"Brandenburgisch-Südmärkisch","nördliches Niederdeutsch","Frankfurt an der Oder","125330","alt","FFALT3","NoSo","2",0.74,"?",0.4,NA
"301",146,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","mittel","P9","NoSo","3",1.18,"?",0.53,"SL"
"302",147,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","alt","PALT1","NoSo","3",1.48,"?",0.76,"SL"
"303",148,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","jung","PJUNG1","NoSo","3",0.84,"?",0.54,"SL"
"304",149,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","mittel","PR1","NoSo","3",1.51,"?",0.96,"SL"
"305",150,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","alt","PRALT2","NoSo","3",1.47,"?",0.8,"SL"
"306",151,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","jung","PRJUNG2","NoSo","3",1.24,"?",0.52,"SL"
"316",152,"Westfälisch","südliches Niederdeutsch","Borken","102881","mittel","BOR2","NoSo","3",0.82,"?",0.19,NA
"317",153,"Westfälisch","südliches Niederdeutsch","Borken","102881","alt","BORALT1","NoSo","3",0.77,"?",0.61,NA
"318",154,"Westfälisch","südliches Niederdeutsch","Borken","102881","jung","BORJUNG1","NoSo","3",1.03,"?",0.36,NA
"319",155,"Westfälisch","südliches Niederdeutsch","Hagen","103064","alt","HAALT1","NoSo","3",0.68,"?",0.47,NA
"320",156,"Westfälisch","südliches Niederdeutsch","Hagen","103064","mittel","HA4","NoSo","3",0.67,"?",0.48,NA
"321",157,"Westfälisch","südliches Niederdeutsch","Hagen","103064","jung","HAJUNG1","NoSo","3",0.94,"?",0.31,NA
"322",158,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","alt","GTALT2","NoSo","3",0.88,"?",0.43,NA
"323",159,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","mittel","GT3","NoSo","3",0.95,"?",0.26,NA
"324",160,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","jung","GTJUNG2","NoSo","3",0.95,"?",0.18,NA
"325",161,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","alt","LIPALT1","NoSo","3",0.93,"?",0.57,NA
"326",162,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","mittel","LIP5","NoSo","3",0.97,"?",0.4,NA
"327",163,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","jung","LIPJUNG2","NoSo","3",0.82,"?",0.11,NA
"328",164,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","alt","OEALT2","NoSo","3",0.98,"?",0.68,NA
"329",165,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","mittel","OE7","NoSo","3",0.73,"?",0.29,NA
"330",166,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","jung","OEJUNG","NoSo","3",0.99,"PL",0.48,NA
"331",167,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","alt","HBSALT2","NoSo","3",0.92,"MA",0.56,"MG"
"332",168,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","mittel","HBS9","NoSo","3",1.13,"PL",0.5,"MG"
"333",169,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","jung","HBSJUNG2","NoSo","3",1.05,"MA",0.46,"MG"
"337",170,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","mittel","NOM3","NoSo","3",0.98,"?",0.48,"CK"
"338",171,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","alt","NOMALT1","NoSo","3",1.23,"PL",0.64,"CK"
